web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Mac Allister,Liverpool,MID,2,0.14,0.06,102.5,384.2,273.0,367.4
Buendía,Aston Villa,MID,3,0.18,0.12,92.6,303.5,304.0,331.6
Pope,Newcastle,GKP,2,0.01,0.0,54.1,0.0,35.0,505.8
Pedro Porro,Spurs,DEF,3,0.03,0.13,109.5,554.1,94.0,445.0
Ugochukwu,Burnley,MID,2,0.11,0.01,69.2,145.2,188.0,361.2
Dunk,Brighton,DEF,2,0.05,0.02,83.5,107.5,156.0,569.2
Tete,Fulham,DEF,2,0.05,0.07,71.4,207.1,108.0,398.0
Bernardo,Man City,MID,3,0.07,0.14,124.7,613.4,226.0,406.2
Barnes,Newcastle,MID,0,0.34,0.12,116.9,301.3,575.0,296.6
Diouf,West Ham,DEF,2,0.02,0.08,75.8,247.5,83.0,426.0
Lewis-Potter,Brentford,DEF,1,0.16,0.08,61.6,167.8,228.0,220.6
Sessegnon,Fulham,MID,1,0.07,0.1,72.2,197.1,187.0,340.8
Grealish,Everton,MID,3,0.11,0.19,129.2,520.5,397.0,374.2
Digne,Aston Villa,DEF,1,0.03,0.16,69.5,308.9,108.0,279.6
Kayode,Brentford,DEF,2,0.01,0.09,90.5,382.9,77.0,442.8
Mykolenko,Everton,DEF,2,0.01,0.09,76.0,284.5,65.0,411.4
Gvardiol,Man City,DEF,1,0.15,0.04,65.3,104.7,193.0,354.6
Souček,West Ham,MID,0,0.26,0.02,87.3,141.6,339.0,391.2
Yarmoliuk,Brentford,MID,1,0.05,0.05,65.9,217.7,110.0,332.0
Barry,Everton,FWD,0,0.34,0.02,81.3,169.4,420.0,247.4
Berge,Fulham,MID,2,0.05,0.04,74.1,280.0,75.0,382.8
Burn,Newcastle,DEF,2,0.01,0.02,54.9,87.6,76.0,384.8
Murillo,Nott'm Forest,DEF,2,0.03,0.02,66.7,101.1,73.0,492.4
Hudson-Odoi,Nott'm Forest,MID,3,0.14,0.13,113.8,528.2,300.0,312.8
Kudus,Spurs,MID,3,0.11,0.14,104.7,413.8,302.0,333.4
André,Wolves,MID,1,0.02,0.03,58.3,228.9,28.0,326.4
Kroupi.Jr,Bournemouth,FWD,0,0.4,0.08,96.7,251.7,365.0,350.0
Doku,Man City,MID,3,0.14,0.34,129.2,598.3,384.0,311.4
Dorgu,Man Utd,DEF,3,0.13,0.1,101.9,354.1,262.0,402.4
Shaw,Man Utd,DEF,2,0.02,0.05,71.3,264.9,57.0,391.0
Mavropanos,West Ham,DEF,2,0.09,0.02,72.5,25.4,188.0,512.2
Hincapie,Arsenal,DEF,2,0.02,0.08,60.7,168.4,57.0,383.4
Lammens,Man Utd,GKP,2,0.0,0.0,43.3,0.0,2.0,431.2
McGinn,Aston Villa,MID,3,0.14,0.12,88.8,385.2,193.0,308.2
Igor Jesus,Nott'm Forest,FWD,0,0.23,0.06,83.7,155.8,495.0,209.6
Bassey,Fulham,DEF,2,0.06,0.01,60.1,101.1,79.0,418.4
Kerkez,Liverpool,DEF,2,0.04,0.03,87.2,379.4,118.0,372.6
Amad,Man Utd,MID,3,0.21,0.17,129.5,506.1,427.0,360.6
Hall,Newcastle,DEF,2,0.04,0.11,86.2,292.7,131.0,438.8
H.Bueno,Wolves,DEF,3,0.02,0.13,109.9,510.9,134.0,451.4
Bogle,Leeds,DEF,2,0.08,0.06,75.0,231.1,185.0,332.6
Tonali,Newcastle,MID,2,0.07,0.1,93.8,433.5,165.0,336.6
